maturity,log_moneyness,forward,strike,true_local_volatility,true_call_price,noise_standard_deviation,noise,observed_call_price,call_lower_bound,call_upper_bound
0.1,-0.3,100.0,74.08182206817179,0.20029731086782362,25.918187012838388,0.12959093506419195,-9.081010176714699e-06,25.91817793182821,25.91817793182821,100.0
0.1,-0.25,100.0,77.8800783071405,0.20077250570628508,22.120063702041584,0.11060031851020792,0.008210970933678396,22.128274672975262,22.119921692859506,100.0
0.1,-0.2,100.0,81.87307530779819,0.20168730759002754,18.12912289046105,0.09064561445230526,0.06713633825918564,18.196259228720237,18.12692469220181,100.0
0.1,-0.15,100.0,86.07079764250578,0.2030980503845266,13.952470478720596,0.06976235239360298,0.051152131727452144,14.003622610448048,13.92920235749422,100.0
0.1,-0.1,100.0,90.48374180359595,0.20478172224162694,9.6845010285363,0.048422505142681496,0.06608376772661906,9.750584796262919,9.516258196404053,100.0
0.1,-0.05000000000000002,100.0,95.1229424500714,0.20620414396274997,5.68412854722655,0.028420642736132748,0.006024560435339055,5.690153107661889,4.877057549928594,100.0
0.1,0.0,100.0,100.0,0.20676676416183065,2.5937053690136187,0.012968526845068093,0.007673830614694399,2.601379199628313,0.0,100.0
0.1,0.04999999999999999,100.0,105.12710963760242,0.20620414396275,0.8382569268383535,0.01,-0.01445258115967607,0.8238043456786774,0.0,100.0
0.1,0.09999999999999998,100.0,110.51709180756475,0.20478172224162694,0.18373283545831595,0.01,0.0023294105208700455,0.186062245979186,0.0,100.0
0.1,0.14999999999999997,100.0,116.1834242728283,0.2030980503845266,0.025848917963067597,0.01,0.003266488503130476,0.029115406466198073,0.0,100.0
0.1,0.19999999999999996,100.0,122.14027581601698,0.20168730759002754,0.002404271843370826,0.01,-0.002404271843370826,0.0,0.0,100.0
0.1,0.24999999999999994,100.0,128.40254166877415,0.20077250570628508,0.00015999346111114437,0.01,0.008377067395778995,0.00853706085689014,0.0,100.0
0.1,0.3,100.0,134.9858807576003,0.20029731086782362,7.748402065115811e-06,0.01,-7.748402065115811e-06,0.0,0.0,100.0
0.25,-0.3,100.0,74.08182206817179,0.20082450094191812,25.922787323542238,0.1296139366177112,0.13865210399180583,26.061439427534044,25.91817793182821,100.0
0.25,-0.25,100.0,77.8800783071405,0.20214230877980227,22.142113883846292,0.11071056941923146,0.08285780453751102,22.224971688383803,22.119921692859506,100.0
0.25,-0.2,100.0,81.87307530779819,0.20467923257386153,18.22048229318527,0.09110241146592635,-0.02114154016313563,18.199340753022135,18.12692469220181,100.0
0.25,-0.15,100.0,86.07079764250578,0.20859149710486674,14.246118018473883,0.07123059009236941,-0.031139629452342277,14.21497838902154,13.92920235749422,100.0
0.25,-0.1,100.0,90.48374180359595,0.21326064708321144,10.403067063020416,0.05201533531510208,0.07527792891652929,10.478344991936945,9.516258196404053,100.0
0.25,-0.05000000000000002,100.0,95.1229424500714,0.21720529955237894,6.957726682935197,0.03478863341467599,-0.0026042049770884645,6.955122477958109,4.877057549928594,100.0
0.25,0.0,100.0,100.0,0.21876555494257,4.168456551936892,0.020842282759684458,-0.011860385035829424,4.156596166901062,0.0,100.0
0.25,0.04999999999999999,100.0,105.12710963760242,0.21720529955237894,2.180263652544343,0.010901318262721716,0.006347155310777897,2.186610807855121,0.0,100.0
0.25,0.09999999999999998,100.0,110.51709180756475,0.21326064708321144,0.97829752085605,0.01,-0.0027308074659206927,0.9755667133901293,0.0,100.0
0.25,0.14999999999999997,100.0,116.1834242728283,0.20859149710486677,0.3660549524981188,0.01,-0.01079986832717894,0.35525508417093987,0.0,100.0
0.25,0.19999999999999996,100.0,122.14027581601698,0.20467923257386156,0.11253171985966659,0.01,0.009301020986460407,0.121832740846127,0.0,100.0
0.25,0.24999999999999994,100.0,128.40254166877415,0.20214230877980227,0.028253682502138142,0.01,-0.01582837895092032,0.012425303551217824,0.0,100.0
0.25,0.3,100.0,134.9858807576003,0.20082450094191812,0.005702782890360785,0.01,-0.005702782890360785,0.0,0.0,100.0
0.5,-0.3,100.0,74.08182206817179,0.20202794508189362,26.012744899765288,0.13006372449882644,-0.09456696793707664,25.91817793182821,25.91817793182821,100.0
0.5,-0.25,100.0,77.8800783071405,0.20526922933986053,22.36193574563019,0.11180967872815095,-0.014035144188419224,22.347900601441772,22.119921692859506,100.0
